state,year,leg_date
Alaska,2016,08/16/2016
Alaska,2018,08/21/2018
Alaska,2020,08/18/2020
Alaska,2022,08/16/2022
Alaska,2024,08/20/2024
Alabama,2016,03/01/2016
Alabama,2018,06/05/2018
Alabama,2020,03/03/2020
Alabama,2022,05/24/2022
Alabama,2024,03/05/2024
Alabama,1990,06/05/1990
Alabama,1992,06/02/1992
Alabama,1994,06/07/1994
Alabama,1996,06/04/1996
Alabama,1998,06/02/1998
Alabama,2000,06/06/2000
Alabama,2002,06/04/2002
Alabama,2004,06/01/2004
Alabama,2006,06/06/2006
Alabama,2008,06/03/2008
Alabama,2010,06/01/2010
Alabama,2012,03/13/2012
Alabama,2014,06/03/2014
Alaska,1990,08/28/1990
Alaska,1992,08/25/1992
Alaska,1994,08/23/1994
Alaska,1996,08/27/1996
Alaska,1998,08/25/1998
Alaska,2000,08/22/2000
Alaska,2002,08/27/2002
Alaska,2004,08/24/2004
Alaska,2006,08/22/2006
Alaska,2008,08/26/2008
Alaska,2010,08/24/2010
Alaska,2012,08/28/2012
Alaska,2014,08/19/2014
Arkansas,2016,03/01/2016
Arkansas,2018,05/22/2018
Arkansas,2020,03/03/2020
Arkansas,2022,05/24/2022
Arkansas,2024,03/05/2024
Arizona,1990,09/11/1990
Arizona,1992,09/08/1992
Arizona,1994,09/13/1994
Arizona,1996,09/10/1996
Arizona,1998,09/08/1998
Arizona,2000,09/12/2000
Arizona,2002,09/10/2002
Arizona,2004,09/07/2004
Arizona,2006,09/12/2006
Arizona,2008,09/02/2008
Arizona,2010,08/24/2010
Arizona,2012,08/28/2012
Arizona,2014,08/26/2014
Arkansas,1990,05/29/1990
Arkansas,1992,05/26/1992
Arkansas,1994,05/24/1994
Arkansas,1996,05/21/1996
Arkansas,1998,05/19/1998
Arkansas,2000,05/23/2000
Arkansas,2002,05/21/2002
Arkansas,2004,05/18/2004
Arkansas,2006,05/23/2006
Arkansas,2008,05/20/2008
Arkansas,2010,05/18/2010
Arkansas,2012,05/22/2012
Arkansas,2014,05/20/2014
Arizona,2016,08/30/2016
Arizona,2018,08/28/2018
Arizona,2020,08/04/2020
Arizona,2022,08/02/2022
Arizona,2024,07/30/2024
California,2016,06/07/2016
California,2018,06/05/2018
California,2020,03/03/2020
California,2022,06/07/2022
California,2024,03/05/2024
California,1990,06/05/1990
California,1992,06/02/1992
California,1994,06/07/1994
California,1996,03/26/1996
California,1998,06/02/1998
California,2000,03/07/2000
California,2002,03/05/2002
California,2004,03/02/2004
California,2006,06/06/2006
California,2008,06/03/2008
California,2010,06/08/2010
California,2012,06/05/2012
California,2014,06/03/2014
Colorado,2016,06/28/2016
Colorado,2018,06/26/2018
Colorado,2020,06/30/2020
Colorado,2022,06/28/2022
Colorado,2024,06/25/2024
Colorado,1990,08/14/1990
Colorado,1992,08/11/1992
Colorado,1994,08/09/1994
Colorado,1996,08/13/1996
Colorado,1998,08/11/1998
Colorado,2000,08/08/2000
Colorado,2002,08/13/2002
Colorado,2004,08/10/2004
Colorado,2006,08/08/2006
Colorado,2008,08/12/2008
Colorado,2010,08/10/2010
Colorado,2012,06/26/2012
Colorado,2014,06/24/2014
Connecticut,1990,09/11/1990
Connecticut,1992,09/15/1992
Connecticut,1994,09/13/1994
Connecticut,1996,09/10/1996
Connecticut,1998,09/15/1998
Connecticut,2000,09/12/2000
Connecticut,2002,09/10/2002
Connecticut,2004,08/10/2004
Connecticut,2006,08/08/2006
Connecticut,2008,08/12/2008
Connecticut,2010,08/10/2010
Connecticut,2012,08/14/2012
Connecticut,2014,08/12/2014
Connecticut,2016,08/09/2016
Connecticut,2018,08/14/2018
Connecticut,2020,08/11/2020
Connecticut,2022,08/09/2022
Connecticut,2024,08/13/2024
Delaware,2016,09/13/2016
Delaware,2018,09/06/2018
Delaware,2020,09/15/2020
Delaware,2022,09/13/2022
Delaware,2024,09/03/2024
Delaware,1990,09/08/1990
