request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
dt=1&y=2004&c-exi=1&c-r-ot=S&c-t-id=104799,c-t-id,104799,"FUMO, VINCENT J",c-t-eid,13013333,"FUMO, VINCENT J",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,PA,PA,y,2004,2004,c-r-t,1,Standard,c-r-osid,6641,"SENATE DISTRICT 001",c-t-ico,I,Incumbent,2286,6548590.22
dt=1&y=2004&c-exi=1&c-r-ot=S&c-t-id=109368,c-t-id,109368,"MACHADO, MICHAEL J",c-t-eid,6413790,"MACHADO, MICHAEL J",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2004,2004,c-r-t,1,Standard,c-r-osid,674,"SENATE DISTRICT 005",c-t-ico,I,Incumbent,2312,5072192.99
dt=1&y=2004&c-exi=1&c-r-ot=S&c-t-id=49853,c-t-id,49853,"PODESTO, GARY A",c-t-eid,13011166,"PODESTO, GARY A",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CA,CA,y,2004,2004,c-r-t,1,Standard,c-r-osid,674,"SENATE DISTRICT 005",c-t-ico,C,Challenger,1342,4540704.90
dt=1&y=2004&c-exi=1&c-r-ot=S&c-t-id=49851,c-t-id,49851,"PINARD, PEG",c-t-eid,6452410,"PINARD, PEG",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2004,2004,c-r-t,1,Standard,c-r-osid,684,"SENATE DISTRICT 015",c-t-ico,O,Open,939,3015769.37
dt=1&y=2004&c-exi=1&c-r-ot=S&c-t-id=103985,c-t-id,103985,"JONES JR, EMIL",c-t-eid,3091564,"JONES JR, EMIL",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,IL,IL,y,2004,2004,c-r-t,1,Standard,c-r-osid,2318,"SENATE DISTRICT 014",c-t-ico,I,Incumbent,1386,2973162.65
dt=1&y=2004&c-exi=1&c-r-ot=S&c-t-id=103742,c-t-id,103742,"MALDONADO, ABEL",c-t-eid,28456,"MALDONADO, ABEL",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CA,CA,y,2004,2004,c-r-t,1,Standard,c-r-osid,684,"SENATE DISTRICT 015",c-t-ico,O,Open,2421,2701096.59
dt=1&y=2004&c-exi=1&c-r-ot=S&c-t-id=103758,c-t-id,103758,"PERATA, DON",c-t-eid,13008505,"PERATA, DON",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2004,2004,c-r-t,1,Standard,c-r-osid,678,"SENATE DISTRICT 009",c-t-ico,I,Incumbent,1398,2602321.41
dt=1&y=2004&c-exi=1&c-r-ot=S&c-t-id=107848,c-t-id,107848,"KLEIN, JEFFREY D",c-t-eid,13009287,"KLEIN, JEFFREY D",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,NY,NY,y,2004,2004,c-r-t,1,Standard,c-r-osid,5936,"SENATE DISTRICT 034",c-t-ico,O,Open,1298,2507547.63
dt=1&y=2004&c-exi=1&c-r-ot=S&c-t-id=106143,c-t-id,106143,"BASNIGHT, MARC",c-t-eid,13012602,"BASNIGHT, MARC",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,NC,NC,y,2004,2004,c-r-t,1,Standard,c-r-osid,4831,"SENATE DISTRICT 001",c-t-ico,I,Incumbent,1967,1696639.31
dt=1&y=2004&c-exi=1&c-r-ot=S&c-t-id=103733,c-t-id,103733,"KEHOE, CHRISTINE",c-t-eid,6398722,"KEHOE, CHRISTINE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2004,2004,c-r-t,1,Standard,c-r-osid,708,"SENATE DISTRICT 039",c-t-ico,O,Open,2238,1621319.74
