request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
dt=1&y=2016&c-exi=1&c-r-ot=S&c-t-id=197968,c-t-id,197968,"SCARNATI III, JOSEPH B",c-t-eid,13013380,"SCARNATI III, JOSEPH B",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,PA,PA,y,2016,2016,c-r-t,1,Standard,c-r-osid,6667,"SENATE DISTRICT 025",c-t-ico,I,Incumbent,2421,5235587.37
dt=1&y=2016&c-exi=1&c-r-ot=S&c-t-id=202352,c-t-id,202352,"PORTANTINO, ANTHONY J",c-t-eid,22560,"PORTANTINO, ANTHONY J",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2016,2016,c-r-t,1,Standard,c-r-osid,694,"SENATE DISTRICT 025",c-t-ico,O,Open,3188,3592852.68
dt=1&y=2016&c-exi=1&c-r-ot=S&c-t-id=197985,c-t-id,197985,"COSTA JR, JAY",c-t-eid,6387296,"COSTA JR, JAY",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,PA,PA,y,2016,2016,c-r-t,1,Standard,c-r-osid,6685,"SENATE DISTRICT 043",c-t-ico,I,Incumbent,2366,3446592.67
dt=1&y=2016&c-exi=1&c-r-ot=S&c-t-id=197949,c-t-id,197949,"HUGHES, VINCENT J",c-t-eid,6387306,"HUGHES, VINCENT J",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,PA,PA,y,2016,2016,c-r-t,1,Standard,c-r-osid,6647,"SENATE DISTRICT 007",c-t-ico,I,Incumbent,2537,3291709.55
dt=1&y=2016&c-exi=1&c-r-ot=S&c-t-id=202363,c-t-id,202363,"CHANG, LING LING",c-t-eid,594598,"CHANG, LING LING",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CA,CA,y,2016,2016,c-r-t,1,Standard,c-r-osid,698,"SENATE DISTRICT 029",c-t-ico,O,Open,1061,3251192.06
dt=1&y=2016&c-exi=1&c-r-ot=S&c-t-id=216932,c-t-id,216932,"KAMINSKY, TODD D",c-t-eid,26158013,"KAMINSKY, TODD D",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,NY,NY,y,2016,2016,c-r-t,1,Standard,c-r-osid,5911,"SENATE DISTRICT 009",c-t-ico,I,Incumbent,2005,3195590.86
dt=1&y=2016&c-exi=1&c-r-ot=S&c-t-id=195242,c-t-id,195242,"RADOGNO, CHRISTINE",c-t-eid,2701213,"RADOGNO, CHRISTINE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,IL,IL,y,2016,2016,c-r-t,1,Standard,c-r-osid,2345,"SENATE DISTRICT 041",c-t-ico,I,Incumbent,1358,3097623.20
dt=1&y=2016&c-exi=1&c-r-ot=S&c-t-id=202358,c-t-id,202358,"STERN, HENRY",c-t-eid,39707348,"STERN, HENRY",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2016,2016,c-r-t,1,Standard,c-r-osid,696,"SENATE DISTRICT 027",c-t-ico,O,Open,2282,3051374.46
dt=1&y=2016&c-exi=1&c-r-ot=S&c-t-id=195222,c-t-id,195222,"CULLERTON, THOMAS E",c-t-eid,6514792,"CULLERTON, THOMAS E",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,IL,IL,y,2016,2016,c-r-t,1,Standard,c-r-osid,2327,"SENATE DISTRICT 023",c-t-ico,I,Incumbent,1048,3017183.65
dt=1&y=2016&c-exi=1&c-r-ot=S&c-t-id=195247,c-t-id,195247,"BERTINO-TARRANT, JENNIFER",c-t-eid,6514977,"BERTINO-TARRANT, JENNIFER",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,IL,IL,y,2016,2016,c-r-t,1,Standard,c-r-osid,2353,"SENATE DISTRICT 049",c-t-ico,I,Incumbent,1168,2911178.07
