request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
dt=1&y=2018&c-exi=1&c-r-ot=H&c-t-id=232410,c-t-id,232410,"MADIGAN, MICHAEL J",c-t-eid,2704205,"MADIGAN, MICHAEL J",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,IL,IL,y,2018,2018,c-r-t,1,Standard,c-r-osid,2208,"HOUSE DISTRICT 022",c-t-ico,I,Incumbent,923,17690738.24
dt=1&y=2018&c-exi=1&c-r-ot=H&c-t-id=232532,c-t-id,232532,"DURKIN, JAMES B (JIM)",c-t-eid,3105296,"DURKIN, JAMES B (JIM)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,IL,IL,y,2018,2018,c-r-t,1,Standard,c-r-osid,2268,"HOUSE DISTRICT 082",c-t-ico,I,Incumbent,1286,9697091.39
dt=1&y=2018&c-exi=1&c-r-ot=H&c-t-id=229451,c-t-id,229451,"BONNEN, DENNIS H",c-t-eid,13006838,"BONNEN, DENNIS H",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,TX,TX,y,2018,2018,c-r-t,1,Standard,c-r-osid,7398,"HOUSE DISTRICT 025",c-t-ico,I,Incumbent,1467,4794690.05
dt=1&y=2018&c-exi=1&c-r-ot=H&c-t-id=238500,c-t-id,238500,"CERVANTES, SABRINA",c-t-eid,38566119,"CERVANTES, SABRINA",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2018,2018,c-r-t,1,Standard,c-r-osid,649,"ASSEMBLY DISTRICT 060",c-t-ico,I,Incumbent,932,3816210.29
dt=1&y=2018&c-exi=1&c-r-ot=H&c-t-id=229609,c-t-id,229609,"MIDDLETON II, DAVID MAYES",c-t-eid,11348035,"MIDDLETON II, DAVID MAYES",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,TX,TX,y,2018,2018,c-r-t,1,Standard,c-r-osid,7396,"HOUSE DISTRICT 023",c-t-ico,O,Open,939,3807949.45
dt=1&y=2018&c-exi=1&c-r-ot=H&c-t-id=236951,c-t-id,236951,"TURZAI, MICHAEL C",c-t-eid,13005571,"TURZAI, MICHAEL C",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,PA,PA,y,2018,2018,c-r-t,1,Standard,c-r-osid,6465,"HOUSE DISTRICT 028",c-t-ico,I,Incumbent,1304,3523720.89
dt=1&y=2018&c-exi=1&c-r-ot=H&c-t-id=238443,c-t-id,238443,"RAMOS, JAMES",c-t-eid,14164505,"RAMOS, JAMES",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2018,2018,c-r-t,1,Standard,c-r-osid,629,"ASSEMBLY DISTRICT 040",c-t-ico,O,Open,996,2814090.77
dt=1&y=2018&c-exi=1&c-r-ot=H&c-t-id=238508,c-t-id,238508,"QUIRK-SILVA, SHARON DARLENE",c-t-eid,11022813,"QUIRK-SILVA, SHARON DARLENE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2018,2018,c-r-t,1,Standard,c-r-osid,654,"ASSEMBLY DISTRICT 065",c-t-ico,I,Incumbent,1085,2698669.05
dt=1&y=2018&c-exi=1&c-r-ot=H&c-t-id=238647,c-t-id,238647,"BAKER, CATHARINE",c-t-eid,16635303,"BAKER, CATHARINE",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CA,CA,y,2018,2018,c-r-t,1,Standard,c-r-osid,605,"ASSEMBLY DISTRICT 016",c-t-ico,I,Incumbent,1912,2697657.73
dt=1&y=2018&c-exi=1&c-r-ot=H&c-t-id=238518,c-t-id,238518,"LOWENTHAL, JOSH",c-t-eid,44493776,"LOWENTHAL, JOSH",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2018,2018,c-r-t,1,Standard,c-r-osid,661,"ASSEMBLY DISTRICT 072",c-t-ico,O,Open,1084,2664331.20
